top - 12:47:31 up  1:13,  4 users,  load average: 0.17, 0.10, 0.12
Tasks: 380 total,   1 running, 379 sleeping,   0 stopped,   0 zombie
%Cpu(s):  4.3 us,  4.3 sy,  0.0 ni, 91.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3387.2 total,    116.1 free,   2238.9 used,   1018.8 buff/cache     
MiB Swap:   3263.0 total,   1960.8 free,   1302.2 used.   1148.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2154 dev-alf+  20   0  310296   5584   5456 S   0.0   0.2   0:00.00 xdg-per+
   2160 dev-alf+  20   0  171072   5560   5304 S   0.0   0.2   0:00.00 gdm-way+
   2166 dev-alf+  20   0  202108   8776   8648 S   0.0   0.3   0:00.00 gnome-s+
   2183 root      20   0    2356   1588   1588 S   0.0   0.0   0:00.00 fusermo+
   2245 dev-alf+  20   0   97688   5844   5588 S   0.0   0.2   0:00.00 gcr-ssh+
   2246 dev-alf+  20   0   90168   4516   4388 S   0.0   0.1   0:00.00 gnome-s+
   2257 dev-alf+  20   0  315872   6620   6364 S   0.0   0.2   0:00.00 gvfsd
   2269 dev-alf+  20   0  395544   6492   6236 S   0.0   0.2   0:00.00 gvfsd-f+
   2277 dev-alf+  20   0  637756  10024   9256 S   0.0   0.3   0:00.05 gnome-s+
   2321 dev-alf+  20   0  382176   6372   5988 S   0.0   0.2   0:00.00 at-spi-+
   2322 dev-alf+  20   0 3985248 111360  47952 S   0.0   3.2   1:11.53 gnome-s+
   2336 dev-alf+  20   0    8716   3612   3484 S   0.0   0.1   0:00.00 dbus-da+
   2398 dev-alf+  20   0  170128   5860   5732 S   0.0   0.2   0:00.00 at-spi2+
   2414 dev-alf+  20   0  662644  11756  11292 S   0.0   0.3   0:00.01 gnome-s+
   2424 dev-alf+  20   0 1293208  14276  13124 S   0.0   0.4   0:00.05 evoluti+
   2435 dev-alf+  20   0 2592996  17924  14568 S   0.0   0.5   0:00.03 gjs
   2449 dev-alf+  20   0  388924   6960   6584 S   0.0   0.2   0:00.82 ibus-da+
   2452 dev-alf+  20   0  245480   5684   5556 S   0.0   0.2   0:00.00 gsd-a11+
   2453 dev-alf+  20   0  417780  10884  10244 S   0.0   0.3   0:00.04 gsd-col+
   2454 dev-alf+  20   0  258700   7368   7240 S   0.0   0.2   0:00.00 gsd-dat+
   2455 dev-alf+  20   0  386968   7320   6680 S   0.0   0.2   0:00.13 gsd-hou+
   2456 dev-alf+  20   0  414856  10684   9916 S   0.0   0.3   0:00.02 gsd-key+
   2457 dev-alf+  20   0  642032  12636  11484 S   0.0   0.4   0:00.04 gsd-med+
   2459 dev-alf+  20   0  493748  11812  10916 S   0.0   0.3   0:00.03 gsd-pow+
   2460 dev-alf+  20   0  324812   8680   8424 S   0.0   0.3   0:00.00 gsd-pri+
   2466 dev-alf+  20   0  843600  20304  19280 S   0.0   0.6   0:00.07 evoluti+
   2470 dev-alf+  20   0  458924   6320   5936 S   0.0   0.2   0:00.00 gsd-rfk+
   2482 dev-alf+  20   0  306884   5844   5332 S   0.0   0.2   0:00.00 gsd-dis+
   2532 dev-alf+  20   0  526120  13124  12996 S   0.0   0.4   0:00.01 goa-dae+
